,id,price,level,levels,rooms,area,kitchen_area,house_id
322,322,1450000,5,5,1,29.6,6.0,2284011
323,323,3700000,8,9,1,46.0,14.0,2386422
324,324,8000000,8,14,2,65.0,11.5,2154745
325,325,1250000,2,5,2,48.1,7.5,2042750
326,326,6750000,2,9,3,126.0,16.0,1640438
327,327,1570000,1,5,1,31.7,6.0,827017
328,328,4200000,2,2,2,51.0,10.0,669964
329,329,9485870,2,25,4,78.1,6.1,2462567
330,330,3999000,5,10,1,37.0,9.0,2581658
331,331,3100000,7,24,1,39.7,12.0,1816091
332,332,2853193,11,24,1,31.4,8.04,1558505
333,333,2850000,7,9,1,32.1,6.4,716606
334,334,2350000,5,9,1,37.0,10.0,638464
335,335,6600000,3,6,1,46.0,17.0,1350330
336,336,9500000,1,3,3,114.0,12.0,660606
337,337,3500000,9,9,3,64.0,9.0,633077
338,338,15550000,2,5,3,91.8,12.3,2029836
339,339,5190000,3,5,4,89.0,12.0,1921719
340,340,11200000,4,5,2,60.0,18.0,849744
341,341,6314500,20,26,1,34.6,15.5,1124175
342,342,9778650,7,32,1,33.5,10.9,2272149
343,343,1760000,2,4,1,30.5,6.0,1215027
344,344,5450000,8,11,1,46.0,18.8,2269748
345,345,2660000,5,5,2,43.0,6.0,1927544
346,346,6415500,10,16,2,61.1,10.7,1939294
347,347,12400000,4,4,2,61.0,9.0,1262630
348,348,3650000,1,5,2,49.0,11.0,1989434
349,349,1700000,5,5,3,62.0,6.0,2504502
350,350,23800000,4,9,2,45.0,6.0,773024
351,351,6200000,13,13,3,90.2,9.9,2128556
352,352,4800000,3,10,2,73.9,28.97,1189603
353,353,2220000,5,5,2,44.7,9.0,2545922
354,354,1900000,3,3,2,45.0,8.5,2353623
355,355,17020900,7,19,3,107.8,18.2,2199855
356,356,3500000,2,5,2,44.0,7.0,2237372
357,357,10850000,33,37,3,122.6,22.0,1918847
358,358,1350000,1,5,1,30.0,6.0,1165928
359,359,9100000,2,5,2,59.0,11.2,1329728
360,360,8300000,12,17,1,38.0,9.5,1648173
361,361,15000000,3,4,4,127.7,11.3,2183360
362,362,15800000,6,22,3,70.0,12.0,721029
363,363,3000000,8,9,1,32.3,6.0,2087822
364,364,15951861,22,26,3,76.0,11.0,1142831
365,365,10125000,4,4,3,112.0,14.0,2636624
366,366,1400000,1,5,1,32.0,6.0,809760
367,367,2800000,2,5,2,43.5,6.0,2786852
368,368,3800000,2,9,3,80.0,9.0,1485593
369,369,1853500,21,25,1,37.07,9.4,1533296
370,370,4300000,3,3,2,61.0,7.7,2706341
371,371,2200000,5,5,2,42.0,6.0,782934
372,372,2400000,5,5,3,59.0,7.3,2563417
373,373,5700000,4,9,3,73.5,22.4,1784616
374,374,11700000,10,15,2,63.32,12.8,1764020
375,375,3600000,5,5,2,48.0,7.4,1142198
376,376,11900000,7,14,3,149.8,21.5,2793198
377,377,1875000,10,12,2,75.0,12.0,2360320
378,378,3570000,7,10,1,41.0,9.0,1277185
379,379,3000000,2,3,1,37.0,12.4,2565983
380,380,4200000,2,17,1,36.8,9.0,1839973
381,381,1370000,3,5,1,32.0,6.5,1978975
382,382,8366100,7,23,1,39.5,20.3,1369322
383,383,6100000,6,10,2,52.0,23.6,1842318
384,384,5400000,3,5,3,61.2,6.0,2745943
385,385,1250000,1,5,1,30.0,18.0,1716958
386,386,8500000,15,23,1,44.2,17.0,843452
387,387,15300000,5,17,3,74.8,10.3,2167554
388,388,5350000,6,9,4,70.0,7.0,734977
389,389,5600000,13,17,1,51.0,14.0,1641138
390,390,3750000,2,9,2,46.3,10.0,2174204
391,391,7200000,22,23,2,84.4,17.7,866485
392,392,3370000,9,9,1,44.0,9.0,826173
393,393,5150000,3,9,1,33.2,6.0,2341021
394,394,15340000,2,12,4,76.0,8.4,2231749
395,395,19000000,3,15,3,135.1,30.0,1399485
396,396,2600000,17,21,1,39.0,9.8,622144
397,397,7800000,12,26,1,40.0,9.7,1772898
398,398,4200000,3,5,3,62.0,7.0,1231014
399,399,3150000,7,9,2,48.0,11.0,2448686
400,400,1610000,4,5,1,31.0,7.0,1846075
401,401,6351000,4,19,2,48.43,10.0,637407
402,402,2914280,21,26,1,38.03,9.53,844951
403,403,15500000,3,6,2,94.5,15.6,2709487
404,404,12000000,6,9,2,44.0,6.0,1069632
405,405,10400000,5,22,2,72.5,15.0,1507337
406,406,7500000,20,22,1,46.0,15.0,2195220
407,407,1700000,1,9,1,31.0,6.5,2445172
408,408,6500000,2,4,3,61.0,8.0,2128343
409,409,6000000,2,21,3,94.0,12.0,788638
410,410,8931780,16,17,2,49.5,11.1,985683
411,411,2533300,6,25,1,32.9,15.3,2368653
412,412,5500000,17,25,1,34.0,10.1,1281653
413,413,2004884,17,17,1,38.6,11.8,1013053
414,414,5900000,6,9,4,107.0,14.0,1218227
415,415,2300000,3,9,1,29.1,7.0,2351733
416,416,4050000,3,9,3,57.0,9.2,1956596
417,417,3300000,1,3,1,34.4,9.0,1938720
418,418,7014000,4,9,2,66.0,23.1,1004939
419,419,2350000,5,5,2,44.0,8.0,1350718
420,420,4850000,1,5,2,44.4,6.0,2485641
421,421,1690000,1,5,2,42.5,6.0,2744989
422,422,8000000,2,9,2,57.0,7.0,1884714
423,423,2450000,1,5,2,43.6,6.0,1489242
424,424,3050000,1,4,2,44.0,8.0,2184502
425,425,16190000,5,17,2,59.5,12.9,2377772
426,426,18012000,19,33,3,91.0,22.5,2402464
427,427,19439130,11,12,2,57.7,19.4,1872013
428,428,12750000,13,13,1,40.0,10.0,2706988
429,429,45500000,14,32,4,117.0,10.0,1771769
430,430,6100000,16,16,1,35.3,10.0,673346
431,431,42000000,10,17,3,102.0,15.0,1873649
432,432,1600000,1,2,2,38.4,6.0,1287734
433,433,4400000,1,4,1,36.0,10.0,2675298
434,434,12000000,10,15,2,74.0,10.0,2509794
435,435,1790000,5,5,1,37.1,6.1,719130
436,436,11800000,4,16,1,33.2,7.4,1497816
437,437,7250000,1,14,3,90.0,16.0,2498995
438,438,2550000,6,10,1,38.0,8.0,636965
439,439,11500000,6,12,2,47.0,6.0,1510231
440,440,4150000,9,9,2,47.5,8.0,1275141
441,441,4700000,5,5,3,57.0,16.0,2715655
442,442,3300000,1,5,1,30.0,6.0,1708192
443,443,1640000,3,5,2,43.0,6.0,1499496
444,444,5969000,5,10,2,52.0,13.0,637407
